barrio,poblacion,hogares,nbi,pct_nbi,escuelas_total,escuelas_estatales,escuelas_privadas,dispensarios_municipales,paradas_colectivo,lineas_colectivo,luminarias_reportes,comisarias,centros_vecinales,hogares_por_poblacion,poblacion_log,pct_escuelas_privadas,escuelas_por_1000_hab,dispensarios_por_10000_hab,comisarias_por_10000_hab,paradas_por_1000_hab,centros_vecinales_por_10000_hab,tiene_escuela,tiene_dispensario,tiene_comisaria,tiene_transporte,infraestructura_score,area_barrio_km2,densidad_poblacional,densidad_hogares,infraestructura_por_km2,educacion_ratio_publico_privado,centroide_lat,centroide_lon,cluster_barrio,cluster_descripcion,categoria_infraestructura,tooltip_barrio,servicios_basicos_score,infraestructura_por_habitante,ranking_infraestructura,percentil_infraestructura
1 DE MAYO,3.3972,2.5605,2.202,0.1688,0.832,1.0758,0.3978,-0.4858,0.4533,-0.1947,-0.315,-0.2838,1.6826,-0.6295,2.5685,0.621,-0.4994,-0.4167,-0.2758,-0.9182,-0.5236,0.8528,-0.4943,-0.2968,0.2968,-1.019,0.2848,2.1532,1.5229,-0.5075,-0.0407,-31.4359592193562,-64.1176949424045,2.7545,Tipo E (Infr 0.11 - NBI 5.5%),Muy Baja,<b>1 DE MAYO</b><br>Pob: 19996.0<br>Score: 0.04 (Muy Baja),0.4055,-0.7244,1.4026,-1.3855
2 DE SEPTIEMBRE,-0.0639,-0.1832,0.5556,2.8814,-0.3525,-0.3118,-0.3168,1.9142,-0.009,-0.1947,-0.5455,-0.2838,0.3244,-1.5834,0.4738,-0.4469,-0.477,1.6699,-0.2758,-0.3981,-0.1749,0.8528,2.0231,-0.2968,0.2968,0.0119,-0.2549,0.8138,0.1735,-0.1804,-0.0407,-31.3336313559965,-64.2419277567805,0.625,Tipo C (Infr 0.16 - NBI 14.4%),Alta,<b>2 DE SEPTIEMBRE</b><br>Pob: 2624.0<br>Score: 0.23 (Alta),1.6832,-0.4612,-0.4125,0.4157
20 DE JUNIO,-0.4549,-0.3966,-0.1914,1.5641,-0.5499,-0.6587,-0.3168,1.9142,0.4533,0.1885,-0.5151,-0.2838,-1.0337,-0.2133,-0.9481,-0.4469,-0.7611,3.2291,-0.2758,2.6411,-0.6477,-1.1726,2.0231,-0.2968,0.2968,2.3506,-0.3762,1.9213,1.5585,5.3562,-0.6046,-31.38667683145,-64.1637940986309,1.6898,Tipo D (Infr 0.40 - NBI 2.8%),Muy Alta,<b>20 DE JUNIO</b><br>Pob: 661.0<br>Score: 0.67 (Muy Alta),0.4055,2.3523,-1.599,1.5866
23 DE ABRIL,-0.2123,-0.2734,0.1212,1.9665,-0.5499,-0.6587,-0.3168,-0.4858,-0.7487,-0.578,-0.3635,-0.2838,0.3244,-1.5487,0.1292,-0.4469,-0.7611,-0.4167,-0.2758,-0.7955,0.0124,-1.1726,-0.4943,-0.2968,0.2968,-1.07,-0.2913,0.7159,0.1222,-0.4621,-0.6046,-31.4576861165788,-64.1279620826956,0.625,Tipo C (Infr 0.16 - NBI 14.4%),Muy Baja,<b>23 DE ABRIL</b><br>Pob: 1879.0<br>Score: 0.03 (Muy Baja),-0.9109,-0.6822,1.4732,-1.4548
25 DE MAYO,-0.487,-0.3966,-0.1685,1.83,0.4372,1.0758,-0.3168,-0.4858,0.0835,-0.578,-0.5212,-0.2838,4.3989,1.4691,-1.235,-0.4469,2.8306,-0.4167,-0.2758,2.6411,9.2794,0.8528,-0.4943,-0.2968,0.2968,2.9471,-0.2913,-0.8015,-0.5538,1.0035,2.2152,-31.4900986725101,-64.0823231112529,-1.5044,Tipo A (Infr 0.57 - NBI 4.5%),Muy Alta,<b>25 DE MAYO</b><br>Pob: 500.0<br>Score: 0.78 (Muy Alta),0.4055,4.0241,-1.6979,1.6766
4 DE FEBRERO,-0.4165,-0.3928,-0.2828,0.4525,-0.5499,-0.6587,-0.3168,-0.4858,-0.8411,-0.3864,-0.4787,-0.2838,0.3244,-1.2712,-0.6839,-0.4469,-0.7611,-0.4167,-0.2758,-0.682,0.8054,-1.1726,-0.4943,-0.2968,0.2968,-0.9965,-0.2489,-0.6751,-0.7075,-0.4589,-0.6046,-31.4561267034649,-64.1456965562471,-0.4397,Tipo B (Infr 0.14 - NBI 3.0%),Muy Baja,<b>4 DE FEBRERO</b><br>Pob: 854.0<br>Score: 0.04 (Muy Baja),-0.9109,-0.5754,1.3531,-1.3371
ACHAVAL PENA,-0.4364,-0.3867,-0.3286,-0.1042,-0.5499,-0.6587,-0.3168,-0.4858,-0.4713,-0.578,-0.0723,-0.2838,-1.0337,-0.4561,-0.8119,-0.4469,-0.7611,-0.4167,-0.2758,0.1803,-0.6477,-1.1726,-0.4943,-0.2968,0.2968,-0.4375,4.4996,-1.3332,-1.1426,-0.5135,-0.6046,-31.436225387803,-64.2040585961533,-0.4397,Tipo B (Infr 0.14 - NBI 3.0%),Baja,<b>ACHAVAL PENA</b><br>Pob: 754.0<br>Score: 0.15 (Baja),-0.9109,-0.1329,0.3573,-0.3464
ACOSTA,0.5115,0.3289,0.6395,0.6812,0.832,1.7696,-0.3168,-0.4858,0.6382,-0.1947,-0.4545,-0.2838,0.3244,-0.6815,1.2395,-0.4469,0.1885,-0.4167,-0.2758,-0.5393,-0.4231,0.8528,-0.4943,-0.2968,0.2968,-0.4306,-0.0245,0.4092,0.1735,-0.4353,3.3431,-31.4236045698365,-64.1235108429697,0.625,Tipo C (Infr 0.16 - NBI 14.4%),Media,<b>ACOSTA</b><br>Pob: 5512.0<br>Score: 0.15 (Media),0.4055,-0.6479,0.2796,-0.2701
AERONAUTICO- VILLA ZEPELLIN,-0.4017,-0.3658,-0.3514,-0.4339,0.2398,0.7289,-0.3168,-0.4858,-0.1014,-0.578,-0.5455,-0.2838,-1.0337,-0.6815,-0.5983,-0.4469,2.4616,-0.4167,-0.2758,0.6129,-0.6477,0.8528,-0.4943,-0.2968,0.2968,1.4486,-0.4005,-1.3516,-1.1573,-0.5199,1.6512,-31.4304095651434,-64.270881350096,-1.5044,Tipo A (Infr 0.57 - NBI 4.5%),Muy Alta,<b>AERONAUTICO- VILLA ZEPELLIN</b><br>Pob: 928.0<br>Score: 0.50 (Muy Alta),0.4055,0.9121,-1.4013,1.3995
AEROPUERTO,-0.487,-0.3966,-0.3667,-0.4747,-0.3525,-0.3118,-0.3168,-0.4858,-0.2864,-0.3864,-0.5455,-0.2838,-1.0337,1.4691,-1.235,-0.4469,0.7343,-0.4167,-0.2758,1.4137,-0.6477,0.8528,-0.4943,-0.2968,0.2968,1.1071,1.4856,-1.3198,-1.1223,-0.4705,-0.0407,-31.3249626672809,-64.1957356859382,1.6898,Tipo D (Infr 0.40 - NBI 2.8%),Muy Alta,<b>AEROPUERTO</b><br>Pob: 500.0<br>Score: 0.44 (Muy Alta),0.4055,1.9293,-1.2388,1.2367
